지역,2020년 ,2021년,2022년 ,2023년 ,2024년,지역(추출)
고양시청,77.55,75.62,76.96,76.81,80.18,안양
광명,153.87,167.45,154.85,153.12,75.94,안양
광명철산,0,0,89.69,91.65,122.37,안양
광주시가지,82.17,78.32,148.24,147.43,121.09,용인
구리역,153.56,156.9,110.64,111.43,127.36,안양
기흥역,0,0,79.72,79.31,98.01,용인
김량장동,73.47,74.42,55.76,55.02,72.83,용인
동두천중앙로,51.75,50.48,157.8,173.77,118.22,안양
모란,149.02,144.97,99.76,99.52,139.43,안양
병점역,77.81,90.19,102.37,101.96,100.85,화성
부천역,104.85,105.06,112.36,110.52,111.21,부천
성남구시가지,111,108.55,237.52,226.25,170.35,안양
수원역,260.98,246.47,67.04,66.48,136.79,수원
신장/지산/서정,75.77,74.57,86.25,85.02,76.07,수원
신천역,0,0,49.67,49.57,67.38,안산
안성시장,46.31,46.17,157.14,154.27,76.55,화성
안양역,153.75,136.98,72.2,70.77,102.36,안양
여주군청,94.37,84.13,77.54,78.41,39.25,용인
오산시청,68.88,74.24,97.32,98.54,89.06,화성
용인수지,98.12,95.73,138.74,139.34,119.76,용인
의정부역,130.79,122.9,64.38,64.13,100.59,안양
이천종합터미널,68.76,68.46,107.5,107.9,88.4,용인
인계동,97.5,97.4,100.19,100.46,100.84,수원
인덕원,0,103.85,82.99,79.25,100.91,안양
탄현역,77.12,85.23,103.76,101.57,90.48,안양
파주시청,110.18,100.46,109.02,108.36,102.1,안양
팔달문로터리,140.76,113.03,77,87.59,105.86,수원
평택역,70.79,81.78,58.19,57.52,70.82,화성
포천시외버스터미널,56.71,53.16,145.4,142.42,100.04,안양
