브랜드,전체매장수,폐업매장수,폐업률(%),평균브랜드지수
커피스미스,5,5,100.0,70638.86666666667
카페베네,55,51,92.7,151506.95
빈스빈스,7,6,85.7,29398.416666666668
탐앤탐스,32,27,84.4,174916.41666666666
드롭탑,11,9,81.8,91981.55
커피베이,127,101,79.5,132563.4655172414
엔제리너스,59,46,78.0,267792.65
셀렉토커피,48,36,75.0,60909.74545454545
전광수커피,4,3,75.0,19290.0
셀렉토,48,36,75.0,28818.0
토프레소,33,24,72.7,20491.64150943396
달콤커피,10,7,70.0,160111.46666666667
커피나무,19,13,68.4,148605.28333333333
커피에반하다,131,89,67.9,107697.32203389831
커피마마,20,13,65.0,37973.56896551724
그라찌에,16,10,62.5,12801.175
커피빈,30,18,60.0,370766.65
할리스,63,37,58.7,357255.131147541
파스쿠찌,39,22,56.4,377086.81666666665
만랩커피,25,13,52.0,69458.21666666666
더카페,42,21,50.0,53899.23728813559
감성커피,36,13,36.1,249765.0
이디야,140,50,35.7,854255.5166666667
더착한커피,6,2,33.3,31963.724137931036
매머드커피,11,2,18.2,151761.68333333332
투썸플레이스,155,26,16.8,1250515.3
더벤티,99,16,16.2,359228.69696969696
빽다방,166,12,7.2,755814.3833333333
메가커피,18,1,5.6,1530805.3166666667
하삼동커피,22,1,4.5,245043.33333333334
스타벅스,197,7,3.6,3487210.8
폴바셋,8,0,0.0,343370.9830508475
