region,ym,total_amt,total_cnt,avg_amt_per_cnt,n_open,n_close,top1_brand_index
부천시,2022-01,5680298121,768444,7391.948041757109,12,7,3222700
부천시,2022-02,4892196135,676391,7232.793066436425,17,12,3033530
부천시,2022-03,5938257845,842184,7051.021920387943,15,12,2886248
부천시,2022-04,7207481948,1013807,7109.3235181844275,19,9,3908133
부천시,2022-05,8133977178,1149164,7078.169154272149,20,7,4039414
부천시,2022-06,7860580037,1128320,6966.622976637833,14,12,4662439
부천시,2022-07,8240324210,1150446,7162.7214228221055,19,6,3910760
부천시,2022-08,7858244916,1107724,7094.045913964128,15,8,1577062
부천시,2022-09,7987227568,1153577,6923.8790024419695,23,12,2453879
부천시,2022-10,7922969751,1132746,6994.480449279891,9,18,3996641
부천시,2022-11,7051489796,1020455,6910.142824524354,18,14,3866161
부천시,2022-12,7327835190,949538,7717.263753530664,21,42,3902574
부천시,2023-01,7260542093,935369,7762.222281260123,14,13,3991176
부천시,2023-02,7156956399,927787,7714.008063273143,11,20,3070165
부천시,2023-03,8425732158,1178063,7152.191485514782,10,15,3476260
부천시,2023-04,8625024546,1218362,7079.196943108863,19,15,3480308
부천시,2023-05,9290710999,1345046,6907.3555841212865,20,13,3169235
부천시,2023-06,9583370915,1392123,6883.9972581445745,19,17,3681934
부천시,2023-07,9995191513,1391233,7184.4123256133225,18,13,4703854
부천시,2023-08,9985027087,1403689,7113.418347653932,14,13,4470393
부천시,2023-09,9522504494,1372814,6936.48556468684,15,18,4625360
부천시,2023-10,9158078720,1349259,6787.487591337171,12,19,4147798
부천시,2023-11,7984655053,1135080,7034.442552947809,9,27,3795310
부천시,2023-12,8672169292,1119196,7748.570663226102,11,41,3990732
부천시,2024-01,8174695894,1121095,7291.706674278273,8,12,3174190
부천시,2024-02,8329250188,1142503,7290.353012639792,8,15,3194576
부천시,2024-03,9479500768,1306156,7257.556347021336,9,17,3299648
부천시,2024-04,9916165997,1447078,6852.544228438273,18,13,3511967
부천시,2024-05,9108412678,1300878,7001.742421656758,7,19,3460531
부천시,2024-06,9231508210,1343962,6868.875913158259,7,8,3589736
부천시,2024-07,10180483906,1422788,7155.306276128278,5,15,2873807
부천시,2024-08,10728522906,1498382,7160.071934927141,4,8,3256107
부천시,2024-09,9866156484,1401987,7037.266739277897,5,11,3604583
부천시,2024-10,9437004715,1371249,6882.0503898270845,4,16,5512977
부천시,2024-11,8452868219,1203894,7021.2728188694355,4,17,4066719
부천시,2024-12,8973442206,1172022,7656.3769331975,3,45,4060747
수원시,2022-01,17002136877,1655475,10270.246833688216,27,18,3222700
수원시,2022-02,14508199782,1433051,10123.994039290996,21,25,3033530
수원시,2022-03,17809871331,1788888,9955.83364134591,37,15,2886248
수원시,2022-04,22306884215,2167215,10292.880131874317,38,15,3908133
수원시,2022-05,24303405801,2377708,10221.358468323277,28,20,4039414
수원시,2022-06,22974083249,2322412,9892.33747026798,32,15,4662439
수원시,2022-07,22949893504,2333845,9833.512295803706,30,18,3910760
수원시,2022-08,21944048320,2282296,9614.900223283921,28,18,1577062
수원시,2022-09,22998193403,2326237,9886.436078095225,29,22,2453879
