ta_ymd,cty_rgn_no,admi_cty_no,card_tpbuz_cd,card_tpbuz_nm_1,card_tpbuz_nm_2,hour,sex,age,day,amt,cnt
20230201,41271,41271510,Q13,음식,커피/음료,1,F,3,3,4863,2
20230201,41271,41271510,Q13,음식,커피/음료,1,M,2,3,4573,3
20230201,41271,41271510,Q13,음식,커피/음료,2,F,3,3,12158,2
20230201,41271,41271510,Q13,음식,커피/음료,2,F,4,3,12112,5
20230201,41271,41271510,Q13,음식,커피/음료,2,F,5,3,6839,3
20230201,41271,41271510,Q13,음식,커피/음료,2,F,7,3,6079,2
20230201,41271,41271510,Q13,음식,커피/음료,2,M,2,3,2476,2
20230201,41271,41271510,Q13,음식,커피/음료,2,M,3,3,9119,2
20230201,41271,41271510,Q13,음식,커피/음료,2,M,4,3,57143,8
20230201,41271,41271510,Q13,음식,커피/음료,2,M,5,3,9422,3
20230201,41271,41271510,Q13,음식,커피/음료,2,M,6,3,15395,6
20230201,41271,41271510,Q13,음식,커피/음료,2,M,9,3,10003,2
20230201,41271,41271510,Q13,음식,커피/음료,3,F,2,3,4407,2
20230201,41271,41271510,Q13,음식,커피/음료,3,F,3,3,14392,5
20230201,41271,41271510,Q13,음식,커피/음료,3,F,4,3,39483,11
20230201,41271,41271510,Q13,음식,커피/음료,3,F,5,3,42568,12
20230201,41271,41271510,Q13,음식,커피/음료,3,F,6,3,22386,5
20230201,41271,41271510,Q13,음식,커피/음료,3,M,3,3,6079,2
20230201,41271,41271510,Q13,음식,커피/음료,3,M,4,3,45953,11
20230201,41271,41271510,Q13,음식,커피/음료,3,M,5,3,64286,14
20230201,41271,41271510,Q13,음식,커피/음료,3,M,6,3,47508,9
20230201,41271,41271510,Q13,음식,커피/음료,3,M,7,3,3040,2
20230201,41271,41271510,Q13,음식,커피/음료,3,M,8,3,18997,2
20230201,41271,41271510,Q13,음식,커피/음료,4,F,3,3,15653,3
20230201,41271,41271510,Q13,음식,커피/음료,4,F,4,3,196079,17
20230201,41271,41271510,Q13,음식,커피/음료,4,F,5,3,89132,11
20230201,41271,41271510,Q13,음식,커피/음료,4,F,6,3,101011,15
20230201,41271,41271510,Q13,음식,커피/음료,4,F,7,3,15562,2
20230201,41271,41271510,Q13,음식,커피/음료,4,F,8,3,12667,2
20230201,41271,41271510,Q13,음식,커피/음료,4,F,9,3,10334,2
20230201,41271,41271510,Q13,음식,커피/음료,4,M,3,3,58079,11
20230201,41271,41271510,Q13,음식,커피/음료,4,M,4,3,94073,11
20230201,41271,41271510,Q13,음식,커피/음료,4,M,5,3,56701,12
20230201,41271,41271510,Q13,음식,커피/음료,4,M,6,3,46018,8
20230201,41271,41271510,Q13,음식,커피/음료,4,M,7,3,6079,2
20230201,41271,41271510,Q13,음식,커피/음료,4,M,9,3,10473,2
20230201,41271,41271510,Q13,음식,커피/음료,5,F,3,3,31702,6
20230201,41271,41271510,Q13,음식,커피/음료,5,F,4,3,76514,11
20230201,41271,41271510,Q13,음식,커피/음료,5,F,5,3,36444,9
20230201,41271,41271510,Q13,음식,커피/음료,5,F,6,3,115623,17
20230201,41271,41271510,Q13,음식,커피/음료,5,F,8,3,5927,2
20230201,41271,41271510,Q13,음식,커피/음료,5,M,3,3,58602,12
20230201,41271,41271510,Q13,음식,커피/음료,5,M,4,3,147006,15
20230201,41271,41271510,Q13,음식,커피/음료,5,M,5,3,72280,14
20230201,41271,41271510,Q13,음식,커피/음료,5,M,6,3,59091,8
20230201,41271,41271510,Q13,음식,커피/음료,5,M,7,3,14801,3
20230201,41271,41271510,Q13,음식,커피/음료,5,M,8,3,5319,2
20230201,41271,41271510,Q13,음식,커피/음료,6,F,2,3,4103,2
20230201,41271,41271510,Q13,음식,커피/음료,6,F,3,3,41884,11
20230201,41271,41271510,Q13,음식,커피/음료,6,F,4,3,88830,17
20230201,41271,41271510,Q13,음식,커피/음료,6,F,5,3,64392,14
20230201,41271,41271510,Q13,음식,커피/음료,6,F,6,3,60897,11
20230201,41271,41271510,Q13,음식,커피/음료,6,F,7,3,11772,3
20230201,41271,41271510,Q13,음식,커피/음료,6,F,8,3,12766,2
20230201,41271,41271510,Q13,음식,커피/음료,6,M,3,3,52432,6
20230201,41271,41271510,Q13,음식,커피/음료,6,M,4,3,72401,11
20230201,41271,41271510,Q13,음식,커피/음료,6,M,5,3,30395,6
20230201,41271,41271510,Q13,음식,커피/음료,6,M,6,3,29362,9
20230201,41271,41271510,Q13,음식,커피/음료,6,M,7,3,46322,6
20230201,41271,41271510,Q13,음식,커피/음료,7,F,2,3,12766,3
20230201,41271,41271510,Q13,음식,커피/음료,7,F,3,3,58450,8
20230201,41271,41271510,Q13,음식,커피/음료,7,F,4,3,30851,6
20230201,41271,41271510,Q13,음식,커피/음료,7,F,5,3,11702,3
20230201,41271,41271510,Q13,음식,커피/음료,7,F,6,3,9924,5
20230201,41271,41271510,Q13,음식,커피/음료,7,F,7,3,20977,5
20230201,41271,41271510,Q13,음식,커피/음료,7,M,2,3,3040,2
20230201,41271,41271510,Q13,음식,커피/음료,7,M,3,3,79088,11
20230201,41271,41271510,Q13,음식,커피/음료,7,M,4,3,15471,5
20230201,41271,41271510,Q13,음식,커피/음료,7,M,5,3,110775,11
20230201,41271,41271510,Q13,음식,커피/음료,7,M,6,3,28237,6
20230201,41271,41271510,Q13,음식,커피/음료,7,M,7,3,22492,6
20230201,41271,41271510,Q13,음식,커피/음료,7,M,8,3,38363,6
20230201,41271,41271510,Q13,음식,커피/음료,8,F,3,3,24863,5
20230201,41271,41271510,Q13,음식,커피/음료,8,F,4,3,64894,6
20230201,41271,41271510,Q13,음식,커피/음료,8,F,5,3,20517,6
20230201,41271,41271510,Q13,음식,커피/음료,8,F,6,3,71489,11
