ta_ymd,cty_rgn_no,admi_cty_no,card_tpbuz_cd,card_tpbuz_nm_1,card_tpbuz_nm_2,hour,sex,age,day,amt,cnt
20220201,41590,41590253,Q13,음식,커피/음료,1,F,2,2,11366,3
20220201,41590,41590253,Q13,음식,커피/음료,1,F,3,2,7813,2
20220201,41590,41590253,Q13,음식,커피/음료,1,F,5,2,8119,3
20220201,41590,41590253,Q13,음식,커피/음료,1,M,2,2,6740,3
20220201,41590,41590253,Q13,음식,커피/음료,1,M,3,2,39063,5
20220201,41590,41590253,Q13,음식,커피/음료,2,F,3,2,13174,5
20220201,41590,41590253,Q13,음식,커피/음료,2,F,7,2,7659,2
20220201,41590,41590253,Q13,음식,커피/음료,2,M,4,2,6756,2
20220201,41590,41590253,Q13,음식,커피/음료,2,M,5,2,18382,2
20220201,41590,41590253,Q13,음식,커피/음료,3,F,3,2,247212,11
20220201,41590,41590253,Q13,음식,커피/음료,3,F,4,2,42816,9
20220201,41590,41590253,Q13,음식,커피/음료,3,F,5,2,198223,12
20220201,41590,41590253,Q13,음식,커피/음료,3,F,6,2,81005,9
20220201,41590,41590253,Q13,음식,커피/음료,3,F,7,2,50398,3
20220201,41590,41590253,Q13,음식,커피/음료,3,M,3,2,84403,11
20220201,41590,41590253,Q13,음식,커피/음료,3,M,4,2,73744,17
20220201,41590,41590253,Q13,음식,커피/음료,3,M,5,2,207439,20
20220201,41590,41590253,Q13,음식,커피/음료,3,M,6,2,51471,8
20220201,41590,41590253,Q13,음식,커피/음료,3,M,7,2,26563,5
20220201,41590,41590253,Q13,음식,커피/음료,4,F,3,2,132659,17
20220201,41590,41590253,Q13,음식,커피/음료,4,F,4,2,469715,44
20220201,41590,41590253,Q13,음식,커피/음료,4,F,5,2,213879,28
20220201,41590,41590253,Q13,음식,커피/음료,4,F,6,2,62194,6
20220201,41590,41590253,Q13,음식,커피/음료,4,F,7,2,13817,3
20220201,41590,41590253,Q13,음식,커피/음료,4,M,3,2,101155,21
20220201,41590,41590253,Q13,음식,커피/음료,4,M,4,2,460257,52
20220201,41590,41590253,Q13,음식,커피/음료,4,M,5,2,584626,55
20220201,41590,41590253,Q13,음식,커피/음료,4,M,6,2,246584,14
20220201,41590,41590253,Q13,음식,커피/음료,4,M,7,2,28646,5
20220201,41590,41590253,Q13,음식,커피/음료,4,M,8,2,2298,2
20220201,41590,41590253,Q13,음식,커피/음료,5,F,2,2,18536,2
20220201,41590,41590253,Q13,음식,커피/음료,5,F,3,2,208055,23
20220201,41590,41590253,Q13,음식,커피/음료,5,F,4,2,230214,34
20220201,41590,41590253,Q13,음식,커피/음료,5,F,5,2,516676,47
20220201,41590,41590253,Q13,음식,커피/음료,5,F,6,2,94317,15
20220201,41590,41590253,Q13,음식,커피/음료,5,F,7,2,40441,5
20220201,41590,41590253,Q13,음식,커피/음료,5,F,8,2,40594,2
20220201,41590,41590253,Q13,음식,커피/음료,5,M,2,2,720,2
20220201,41590,41590253,Q13,음식,커피/음료,5,M,3,2,235509,31
20220201,41590,41590253,Q13,음식,커피/음료,5,M,4,2,321434,51
20220201,41590,41590253,Q13,음식,커피/음료,5,M,5,2,420702,54
20220201,41590,41590253,Q13,음식,커피/음료,5,M,6,2,218995,23
20220201,41590,41590253,Q13,음식,커피/음료,5,M,7,2,18382,3
20220201,41590,41590253,Q13,음식,커피/음료,5,M,8,2,4596,2
20220201,41590,41590253,Q13,음식,커피/음료,6,F,2,2,22855,8
20220201,41590,41590253,Q13,음식,커피/음료,6,F,3,2,204099,23
20220201,41590,41590253,Q13,음식,커피/음료,6,F,4,2,322839,34
20220201,41590,41590253,Q13,음식,커피/음료,6,F,5,2,267883,35
20220201,41590,41590253,Q13,음식,커피/음료,6,F,6,2,108542,12
20220201,41590,41590253,Q13,음식,커피/음료,6,F,7,2,18091,8
20220201,41590,41590253,Q13,음식,커피/음료,6,M,3,2,245313,38
20220201,41590,41590253,Q13,음식,커피/음료,6,M,4,2,162814,34
20220201,41590,41590253,Q13,음식,커피/음료,6,M,5,2,310836,38
20220201,41590,41590253,Q13,음식,커피/음료,6,M,6,2,409603,21
20220201,41590,41590253,Q13,음식,커피/음료,6,M,7,2,18382,3
20220201,41590,41590253,Q13,음식,커피/음료,7,F,2,2,21906,3
20220201,41590,41590253,Q13,음식,커피/음료,7,F,3,2,169608,25
20220201,41590,41590253,Q13,음식,커피/음료,7,F,4,2,208088,18
20220201,41590,41590253,Q13,음식,커피/음료,7,F,5,2,188710,20
20220201,41590,41590253,Q13,음식,커피/음료,7,F,6,2,84375,12
20220201,41590,41590253,Q13,음식,커피/음료,7,F,7,2,10999,5
20220201,41590,41590253,Q13,음식,커피/음료,7,M,2,2,13591,3
20220201,41590,41590253,Q13,음식,커피/음료,7,M,3,2,137255,26
20220201,41590,41590253,Q13,음식,커피/음료,7,M,4,2,191759,20
20220201,41590,41590253,Q13,음식,커피/음료,7,M,5,2,206160,37
20220201,41590,41590253,Q13,음식,커피/음료,7,M,6,2,123683,9
20220201,41590,41590253,Q13,음식,커피/음료,7,M,7,2,20925,5
20220201,41590,41590253,Q13,음식,커피/음료,7,M,8,2,12255,2
