ta_ymd,cty_rgn_no,admi_cty_no,card_tpbuz_cd,card_tpbuz_nm_1,card_tpbuz_nm_2,hour,sex,age,day,amt,cnt
20220101,41271,41271510,Q13,음식,커피/음료,3,F,2,6,3343,2
20220101,41271,41271510,Q13,음식,커피/음료,3,F,3,6,56074,8
20220101,41271,41271510,Q13,음식,커피/음료,3,F,4,6,7599,3
20220101,41271,41271510,Q13,음식,커피/음료,3,F,5,6,32401,5
20220101,41271,41271510,Q13,음식,커피/음료,3,F,6,6,9406,3
20220101,41271,41271510,Q13,음식,커피/음료,3,M,3,6,14681,5
20220101,41271,41271510,Q13,음식,커피/음료,3,M,4,6,34362,8
20220101,41271,41271510,Q13,음식,커피/음료,3,M,5,6,41459,12
20220101,41271,41271510,Q13,음식,커피/음료,3,M,6,6,41489,9
20220101,41271,41271510,Q13,음식,커피/음료,3,M,7,6,4103,2
20220101,41271,41271510,Q13,음식,커피/음료,4,F,3,6,50304,11
20220101,41271,41271510,Q13,음식,커피/음료,4,F,4,6,38267,8
20220101,41271,41271510,Q13,음식,커피/음료,4,F,5,6,71125,11
20220101,41271,41271510,Q13,음식,커피/음료,4,F,6,6,52032,11
20220101,41271,41271510,Q13,음식,커피/음료,4,F,7,6,35243,5
20220101,41271,41271510,Q13,음식,커피/음료,4,M,3,6,52377,5
20220101,41271,41271510,Q13,음식,커피/음료,4,M,4,6,107173,15
20220101,41271,41271510,Q13,음식,커피/음료,4,M,5,6,150745,9
20220101,41271,41271510,Q13,음식,커피/음료,4,M,6,6,11398,2
20220101,41271,41271510,Q13,음식,커피/음료,4,M,7,6,4419,2
20220101,41271,41271510,Q13,음식,커피/음료,5,F,3,6,85514,15
20220101,41271,41271510,Q13,음식,커피/음료,5,F,4,6,68237,11
20220101,41271,41271510,Q13,음식,커피/음료,5,F,5,6,151684,20
20220101,41271,41271510,Q13,음식,커피/음료,5,F,6,6,99377,17
20220101,41271,41271510,Q13,음식,커피/음료,5,F,7,6,32979,6
20220101,41271,41271510,Q13,음식,커피/음료,5,M,3,6,91763,14
20220101,41271,41271510,Q13,음식,커피/음료,5,M,4,6,234962,26
20220101,41271,41271510,Q13,음식,커피/음료,5,M,5,6,105555,17
20220101,41271,41271510,Q13,음식,커피/음료,5,M,6,6,102584,18
20220101,41271,41271510,Q13,음식,커피/음료,5,M,7,6,14438,3
20220101,41271,41271510,Q13,음식,커피/음료,5,M,8,6,12158,2
20220101,41271,41271510,Q13,음식,커피/음료,5,M,9,6,2280,2
20220101,41271,41271510,Q13,음식,커피/음료,6,F,2,6,9574,2
20220101,41271,41271510,Q13,음식,커피/음료,6,F,3,6,29331,9
20220101,41271,41271510,Q13,음식,커피/음료,6,F,4,6,141733,21
20220101,41271,41271510,Q13,음식,커피/음료,6,F,5,6,136793,18
20220101,41271,41271510,Q13,음식,커피/음료,6,F,6,6,46033,6
20220101,41271,41271510,Q13,음식,커피/음료,6,M,3,6,107632,15
20220101,41271,41271510,Q13,음식,커피/음료,6,M,4,6,204833,18
20220101,41271,41271510,Q13,음식,커피/음료,6,M,5,6,33082,8
20220101,41271,41271510,Q13,음식,커피/음료,6,M,6,6,33494,6
20220101,41271,41271510,Q13,음식,커피/음료,6,M,7,6,4353,2
20220101,41271,41271510,Q13,음식,커피/음료,6,M,8,6,11398,2
20220101,41271,41271510,Q13,음식,커피/음료,7,F,3,6,10395,3
20220101,41271,41271510,Q13,음식,커피/음료,7,F,4,6,100988,11
20220101,41271,41271510,Q13,음식,커피/음료,7,F,5,6,113450,12
20220101,41271,41271510,Q13,음식,커피/음료,7,F,6,6,89277,8
