ta_ymd,cty_rgn_no,admi_cty_no,card_tpbuz_cd,card_tpbuz_nm_1,card_tpbuz_nm_2,hour,sex,age,day,amt,cnt
20220201,41271,41271510,Q13,음식,커피/음료,1,F,3,2,5927,2
20220201,41271,41271510,Q13,음식,커피/음료,2,F,4,2,10638,2
20220201,41271,41271510,Q13,음식,커피/음료,2,M,4,2,5892,2
20220201,41271,41271510,Q13,음식,커피/음료,2,M,8,2,7599,2
20220201,41271,41271510,Q13,음식,커피/음료,3,F,4,2,39818,5
20220201,41271,41271510,Q13,음식,커피/음료,3,F,5,2,36403,6
20220201,41271,41271510,Q13,음식,커피/음료,3,F,6,2,42553,5
20220201,41271,41271510,Q13,음식,커피/음료,3,F,7,2,16848,3
20220201,41271,41271510,Q13,음식,커피/음료,3,M,3,2,13526,3
20220201,41271,41271510,Q13,음식,커피/음료,3,M,4,2,65502,11
20220201,41271,41271510,Q13,음식,커피/음료,3,M,5,2,2401,2
20220201,41271,41271510,Q13,음식,커피/음료,4,F,3,2,75260,17
20220201,41271,41271510,Q13,음식,커피/음료,4,F,4,2,59055,11
20220201,41271,41271510,Q13,음식,커피/음료,4,F,5,2,4863,2
20220201,41271,41271510,Q13,음식,커피/음료,4,F,6,2,50076,11
20220201,41271,41271510,Q13,음식,커피/음료,4,M,3,2,143138,14
20220201,41271,41271510,Q13,음식,커피/음료,4,M,4,2,153305,21
20220201,41271,41271510,Q13,음식,커피/음료,4,M,5,2,208416,30
20220201,41271,41271510,Q13,음식,커피/음료,4,M,6,2,114757,15
20220201,41271,41271510,Q13,음식,커피/음료,4,M,7,2,3040,2
20220201,41271,41271510,Q13,음식,커피/음료,4,M,8,2,9119,2
20220201,41271,41271510,Q13,음식,커피/음료,5,F,3,2,64681,6
20220201,41271,41271510,Q13,음식,커피/음료,5,F,4,2,126994,24
20220201,41271,41271510,Q13,음식,커피/음료,5,F,5,2,86831,14
20220201,41271,41271510,Q13,음식,커피/음료,5,F,6,2,71717,8
20220201,41271,41271510,Q13,음식,커피/음료,5,F,7,2,47112,3
20220201,41271,41271510,Q13,음식,커피/음료,5,F,8,2,5836,2
20220201,41271,41271510,Q13,음식,커피/음료,5,M,3,2,99271,12
20220201,41271,41271510,Q13,음식,커피/음료,5,M,4,2,179891,17
20220201,41271,41271510,Q13,음식,커피/음료,5,M,5,2,289804,26
20220201,41271,41271510,Q13,음식,커피/음료,5,M,6,2,57477,6
20220201,41271,41271510,Q13,음식,커피/음료,5,M,7,2,14438,2
20220201,41271,41271510,Q13,음식,커피/음료,6,F,3,2,59119,12
20220201,41271,41271510,Q13,음식,커피/음료,6,F,4,2,59916,12
20220201,41271,41271510,Q13,음식,커피/음료,6,F,5,2,178473,26
20220201,41271,41271510,Q13,음식,커피/음료,6,F,6,2,22280,3
20220201,41271,41271510,Q13,음식,커피/음료,6,F,7,2,9422,3
20220201,41271,41271510,Q13,음식,커피/음료,6,M,3,2,60881,11
20220201,41271,41271510,Q13,음식,커피/음료,6,M,4,2,133040,21
20220201,41271,41271510,Q13,음식,커피/음료,6,M,5,2,102736,15
20220201,41271,41271510,Q13,음식,커피/음료,6,M,6,2,78495,11
20220201,41271,41271510,Q13,음식,커피/음료,6,M,7,2,34780,6
20220201,41271,41271510,Q13,음식,커피/음료,7,F,2,2,15957,2
20220201,41271,41271510,Q13,음식,커피/음료,7,F,3,2,11778,2
20220201,41271,41271510,Q13,음식,커피/음료,7,F,4,2,19728,5
20220201,41271,41271510,Q13,음식,커피/음료,7,F,5,2,55134,6
20220201,41271,41271510,Q13,음식,커피/음료,7,F,6,2,55836,9
20220201,41271,41271510,Q13,음식,커피/음료,7,M,2,2,6839,2
20220201,41271,41271510,Q13,음식,커피/음료,7,M,3,2,48419,11
20220201,41271,41271510,Q13,음식,커피/음료,7,M,4,2,78116,9
20220201,41271,41271510,Q13,음식,커피/음료,7,M,5,2,105015,9
20220201,41271,41271510,Q13,음식,커피/음료,7,M,6,2,94225,12
20220201,41271,41271510,Q13,음식,커피/음료,7,M,7,2,39514,2
20220201,41271,41271510,Q13,음식,커피/음료,8,F,3,2,34704,5
20220201,41271,41271510,Q13,음식,커피/음료,8,F,4,2,89666,11
20220201,41271,41271510,Q13,음식,커피/음료,8,F,5,2,55623,5
20220201,41271,41271510,Q13,음식,커피/음료,8,F,6,2,47173,6
