ta_ymd,cty_rgn_no,admi_cty_no,card_tpbuz_cd,card_tpbuz_nm_1,card_tpbuz_nm_2,hour,sex,age,day,amt,cnt
20220301,41271,41271510,Q13,음식,커피/음료,1,M,3,2,9574,2
20220301,41271,41271510,Q13,음식,커피/음료,1,M,4,2,24833,3
20220301,41271,41271510,Q13,음식,커피/음료,2,F,5,2,19012,2
20220301,41271,41271510,Q13,음식,커피/음료,2,M,3,2,2901,2
20220301,41271,41271510,Q13,음식,커피/음료,2,M,5,2,7903,2
20220301,41271,41271510,Q13,음식,커피/음료,2,M,6,2,19991,3
20220301,41271,41271510,Q13,음식,커피/음료,3,F,3,2,10502,3
20220301,41271,41271510,Q13,음식,커피/음료,3,F,4,2,21976,6
20220301,41271,41271510,Q13,음식,커피/음료,3,F,5,2,25350,6
20220301,41271,41271510,Q13,음식,커피/음료,3,F,6,2,2280,2
20220301,41271,41271510,Q13,음식,커피/음료,3,F,7,2,12158,3
20220301,41271,41271510,Q13,음식,커피/음료,3,M,3,2,13131,5
20220301,41271,41271510,Q13,음식,커피/음료,3,M,4,2,15502,5
20220301,41271,41271510,Q13,음식,커피/음료,3,M,5,2,59362,8
20220301,41271,41271510,Q13,음식,커피/음료,3,M,6,2,9438,3
20220301,41271,41271510,Q13,음식,커피/음료,3,M,7,2,6079,2
20220301,41271,41271510,Q13,음식,커피/음료,4,F,2,2,24316,3
20220301,41271,41271510,Q13,음식,커피/음료,4,F,3,2,20973,6
20220301,41271,41271510,Q13,음식,커피/음료,4,F,4,2,41717,6
20220301,41271,41271510,Q13,음식,커피/음료,4,F,5,2,19514,6
20220301,41271,41271510,Q13,음식,커피/음료,4,F,6,2,3951,2
20220301,41271,41271510,Q13,음식,커피/음료,4,M,3,2,36903,8
20220301,41271,41271510,Q13,음식,커피/음료,4,M,4,2,152584,17
20220301,41271,41271510,Q13,음식,커피/음료,4,M,5,2,61720,15
20220301,41271,41271510,Q13,음식,커피/음료,4,M,6,2,55541,12
20220301,41271,41271510,Q13,음식,커피/음료,4,M,7,2,4559,2
20220301,41271,41271510,Q13,음식,커피/음료,4,M,8,2,2280,2
20220301,41271,41271510,Q13,음식,커피/음료,5,F,3,2,30655,9
20220301,41271,41271510,Q13,음식,커피/음료,5,F,4,2,127508,18
20220301,41271,41271510,Q13,음식,커피/음료,5,F,5,2,144309,18
20220301,41271,41271510,Q13,음식,커피/음료,5,F,6,2,76018,6
20220301,41271,41271510,Q13,음식,커피/음료,5,F,7,2,14438,3
20220301,41271,41271510,Q13,음식,커피/음료,5,F,8,2,26991,2
20220301,41271,41271510,Q13,음식,커피/음료,5,M,3,2,83900,15
20220301,41271,41271510,Q13,음식,커피/음료,5,M,4,2,139848,18
20220301,41271,41271510,Q13,음식,커피/음료,5,M,5,2,184342,24
20220301,41271,41271510,Q13,음식,커피/음료,5,M,6,2,78971,14
20220301,41271,41271510,Q13,음식,커피/음료,5,M,7,2,4559,2
20220301,41271,41271510,Q13,음식,커피/음료,5,M,8,2,7599,2
20220301,41271,41271510,Q13,음식,커피/음료,6,F,3,2,50122,12
20220301,41271,41271510,Q13,음식,커피/음료,6,F,4,2,64590,11
20220301,41271,41271510,Q13,음식,커피/음료,6,F,5,2,72875,15
20220301,41271,41271510,Q13,음식,커피/음료,6,F,6,2,59073,9
20220301,41271,41271510,Q13,음식,커피/음료,6,F,7,2,2280,2
20220301,41271,41271510,Q13,음식,커피/음료,6,M,3,2,50456,12
20220301,41271,41271510,Q13,음식,커피/음료,6,M,4,2,255502,20
